,PlayerId,Name,Team,Catcher,First Base,Second Base,Third Base,Shortstop,Left Field,Center Field,Right Field,Designated Hitter,H,AB,R,2B,3B,HR,XBH,RBI,BB,SB,AVG,OBP,SLG
18,4646,Rougned Odor,Tex,,,1,,,,,,,148.0,551.0,66.0,19.0,6.0,15.0,40.0,69.0,25.0,12.0,0.269,0.304,0.407
19,3735,Oswaldo Arcia,Min,,,,,,,,1,,123.0,501.0,66.0,25.0,4.0,24.0,53.0,78.0,41.0,3.0,0.246,0.312,0.455
20,2536,Lorenzo Cain,KC,,,,,,,1,1,,151.0,576.0,67.0,31.0,4.0,8.0,43.0,60.0,35.0,27.0,0.262,0.307,0.372
21,1103,Curtis Granderson,NYM,,,,,,,,1,,125.0,540.0,77.0,23.0,3.0,23.0,49.0,65.0,73.0,10.0,0.231,0.326,0.413
22,824,Joe Mauer,Min,,1.0,,,,,,,,158.0,543.0,73.0,34.0,2.0,8.0,44.0,61.0,75.0,3.0,0.291,0.376,0.405
23,2122,Matt Wieters*,Bal,1,,,,,,,,,117.0,453.0,55.0,24.0,0.0,20.0,44.0,69.0,40.0,2.0,0.258,0.315,0.444
24,3887,Jedd Gyorko,SD,,,1,,,,,,,125.0,493.0,63.0,24.0,1.0,23.0,48.0,77.0,39.0,3.0,0.254,0.312,0.446
25,6128,Rusney Castillo,Bos,,,,,,,1,,,133.0,455.0,68.0,25.0,2.0,14.0,41.0,56.0,28.0,18.0,0.292,0.349,0.448
26,1803,Steve Pearce,Bal,,1,,,,1,,,,115.0,419.0,58.0,29.0,0.0,20.0,49.0,54.0,49.0,6.0,0.274,0.358,0.487
27,2177,Austin Jackson,Sea,,,,,,,1,,,151.0,587.0,85.0,29.0,7.0,7.0,43.0,47.0,49.0,22.0,0.257,0.314,0.366
28,3644,Scooter Gennett,Mil,,,1,,,,,,,151.0,531.0,74.0,29.0,4.0,12.0,45.0,57.0,26.0,12.0,0.284,0.318,0.422
29,3354,Brandon Belt,SF,,1,,,,,,,,130.0,491.0,65.0,29.0,3.0,19.0,51.0,60.0,50.0,7.0,0.265,0.337,0.452
30,413,Carlos Beltran,NYY,,,,,,,,1,1,117.0,455.0,59.0,24.0,1.0,20.0,45.0,61.0,41.0,4.0,0.257,0.32,0.446
31,4557,Adam Eaton,CWS,,,,,,,1,,,147.0,542.0,90.0,29.0,9.0,4.0,42.0,37.0,53.0,20.0,0.271,0.345,0.38
32,627,Michael Cuddyer,NYM,,,,,,,,1,,128.0,483.0,66.0,31.0,2.0,19.0,52.0,67.0,40.0,8.0,0.265,0.321,0.455
33,2984,Travis d'Arnaud,NYM,1,,,,,,,,,113.0,443.0,57.0,27.0,2.0,17.0,46.0,52.0,39.0,1.0,0.255,0.318,0.44
34,3389,Yasmani Grandal,LAD,1,1,,,,,,,,96.0,394.0,55.0,21.0,1.0,16.0,38.0,56.0,56.0,2.0,0.244,0.337,0.424
35,741,Carl Crawford,LAD,,,,,,1,,,,124.0,430.0,66.0,22.0,3.0,9.0,34.0,44.0,22.0,22.0,0.288,0.329,0.416
36,1613,Asdrubal Cabrera,TB,,,1,,1,,,,,136.0,535.0,70.0,33.0,4.0,12.0,49.0,61.0,47.0,10.0,0.254,0.32,0.398
37,4207,Andrelton Simmons,Atl,,,,,1,,,,,159.0,621.0,65.0,26.0,5.0,11.0,42.0,56.0,40.0,7.0,0.256,0.301,0.367
38,3656,Nick Castellanos,Det,,,,1,,,,,,154.0,584.0,67.0,36.0,3.0,14.0,53.0,69.0,40.0,3.0,0.264,0.311,0.408
39,2491,Wilin Rosario,Col,1,,,,,,,,,115.0,433.0,58.0,25.0,0.0,19.0,44.0,66.0,23.0,3.0,0.266,0.3,0.455
40,5322,Arismendy Alcantara,ChC,,,1,,,,1,,,96.0,396.0,50.0,21.0,5.0,11.0,37.0,41.0,29.0,15.0,0.242,0.295,0.404
41,793,Coco Crisp*,Oak,,,,,,,1,,,107.0,425.0,66.0,19.0,3.0,11.0,33.0,44.0,52.0,21.0,0.252,0.33,0.388
42,1568,Billy Butler,Oak,,1,,,,,,,1,164.0,577.0,61.0,32.0,0.0,14.0,46.0,76.0,51.0,0.0,0.284,0.344,0.412
43,1373,Mike Napoli,Bos,,1,,,,,,,,105.0,429.0,59.0,23.0,1.0,21.0,45.0,65.0,74.0,2.0,0.245,0.361,0.45
44,3964,Khris Davis,Mil,,,,,,1,,,,116.0,467.0,68.0,35.0,2.0,22.0,59.0,69.0,37.0,4.0,0.248,0.315,0.473
45,2467,Wilson Ramos,Wsh,1,,,,,,,,,113.0,406.0,41.0,14.0,0.0,17.0,31.0,65.0,22.0,0.0,0.278,0.313,0.438
46,739,Marlon Byrd,Cin,,,,,,,,1,,144.0,554.0,67.0,29.0,3.0,22.0,54.0,75.0,33.0,2.0,0.26,0.309,0.442
47,6155,Yasmany Tomas,Ari,,,,,,,,1,,132.0,516.0,61.0,26.0,5.0,18.0,49.0,77.0,34.0,8.0,0.256,0.301,0.43
48,1083,Ryan Howard,Phi,,1,,,,,,,,128.0,561.0,63.0,22.0,1.0,23.0,46.0,89.0,60.0,0.0,0.228,0.306,0.394
49,4603,Javier Baez,ChC,,,1,,1,,,,,97.0,426.0,57.0,19.0,1.0,20.0,40.0,65.0,30.0,10.0,0.228,0.282,0.418
0,161,Alex Rodriguez,NYY,,,,1.0,,,,,,106.0,430.0,60.0,16.0,1.0,17.0,34.0,49.0,47.0,11.0,0.247,0.329,0.407
1,5152,Mike Zunino,Sea,1,,,,,,,,,97.0,460.0,58.0,21.0,2.0,21.0,44.0,61.0,23.0,0.0,0.211,0.27,0.402
