,teamId,playerId
0,1.0,4583
1,1.0,725
2,1.0,1132
3,1.0,1044
4,1.0,895
5,1.0,3527
6,1.0,3107
7,1.0,627
8,1.0,824
9,1.0,1803
10,1.0,1438
11,1.0,161
12,1.0,1206
13,3.0,2380
14,3.0,5600
15,3.0,4535
16,3.0,2289
17,3.0,2042
18,3.0,1762
19,3.0,1418
20,3.0,4070
21,3.0,1165
22,3.0,2025
23,3.0,978
24,3.0,1894
25,3.0,6155
26,3.0,973
27,5.0,1268
28,5.0,2487
29,5.0,3466
30,5.0,375
31,5.0,1363
32,5.0,3756
33,5.0,4149
34,5.0,961
35,5.0,997
36,5.0,1357
37,5.0,413
38,5.0,1568
39,5.0,4557
40,5.0,5152
41,5.0,3964
42,5.0,2869
43,11.0,3590
44,11.0,3215
45,11.0,1139
46,11.0,386
47,11.0,2416
48,11.0,1985
49,11.0,1393
50,11.0,5068
51,11.0,1659
52,11.0,5447
53,11.0,4646
54,11.0,3871
55,11.0,650
56,15.0,5444
57,15.0,897
58,15.0,1271
59,15.0,2197
60,15.0,2808
61,15.0,1238
62,15.0,5322
63,15.0,4551
64,15.0,1697
65,15.0,1130
66,15.0,1612
67,15.0,3280
68,15.0,613
69,15.0,1267
70,15.0,1140
71,17.0,3389
72,17.0,846
73,17.0,3143
74,17.0,1581
75,17.0,2215
76,17.0,3274
77,17.0,793
78,17.0,1103
79,17.0,2186
80,17.0,1629
81,17.0,2132
82,17.0,953
83,17.0,3644
84,17.0,703
85,17.0,3146
86,2.0,1212
87,2.0,1981
88,2.0,2013
89,2.0,3734
90,2.0,3499
91,2.0,741
92,2.0,3546
93,2.0,3898
94,2.0,3474
95,2.0,954
96,2.0,2202
97,2.0,2467
98,2.0,1083
99,2.0,331
100,4.0,1019
101,4.0,3486
102,4.0,4144
103,4.0,2659
104,4.0,4207
105,4.0,3390
106,4.0,1643
107,4.0,5048
108,4.0,3559
109,4.0,5150
110,4.0,3504
111,4.0,4605
112,4.0,2122
113,4.0,1125
114,8.0,2263
115,8.0,825
116,8.0,3468
117,8.0,1735
118,8.0,850
119,8.0,1765
120,8.0,2318
121,8.0,1872
122,8.0,343
123,8.0,5675
124,8.0,6128
125,8.0,3876
126,8.0,3738
127,8.0,1373
128,12.0,2816
129,12.0,3841
130,12.0,1433
131,12.0,3256
132,12.0,1863
133,12.0,1578
134,12.0,2789
135,12.0,542
136,12.0,3392
137,12.0,3735
138,12.0,3887
139,12.0,2491
140,12.0,1613
141,12.0,1907
142,16.0,2071
143,16.0,969
144,16.0,828
145,16.0,2269
146,16.0,1452
147,16.0,4553
148,16.0,1579
149,16.0,2971
150,16.0,1600
151,16.0,5534
152,16.0,4603
153,16.0,4573
154,18.0,2984
155,18.0,3452
156,18.0,1365
157,18.0,4087
158,18.0,539
159,18.0,4165
160,18.0,4066
161,18.0,2194
162,18.0,3354
163,18.0,2536
164,18.0,3656
165,18.0,3029
166,18.0,4687
