,teamId,playerId
0,1.0,1879
1,1.0,1148
2,1.0,844
3,1.0,3686
4,1.0,2512
5,1.0,1233
6,1.0,1334
7,1.0,617
8,1.0,1630
9,1.0,2424
10,1.0,4532
11,1.0,4499
12,3.0,1873
13,3.0,1881
14,3.0,4503
15,3.0,1331
16,3.0,814
17,3.0,3381
18,3.0,441
19,3.0,980
20,3.0,5164
21,3.0,1592
22,3.0,1332
23,5.0,3257
24,5.0,2798
25,5.0,2694
26,5.0,2584
27,5.0,4418
28,5.0,1113
29,5.0,2398
30,5.0,1580
31,5.0,3199
32,11.0,3056
33,11.0,1129
34,11.0,2009
35,11.0,5655
36,11.0,3516
37,11.0,1636
38,11.0,2669
39,11.0,4350
40,11.0,3161
41,11.0,781
42,11.0,2423
43,11.0,4882
44,15.0,1255
45,15.0,1785
46,15.0,3421
47,15.0,2929
48,15.0,2359
49,15.0,1979
50,15.0,2058
51,15.0,3997
52,15.0,1957
53,15.0,1254
54,17.0,1392
55,17.0,3440
56,17.0,5135
57,17.0,2369
58,17.0,3404
59,17.0,1145
60,17.0,4581
61,17.0,601
62,17.0,3576
63,17.0,177
64,2.0,1403
65,2.0,2698
66,2.0,3548
67,2.0,1324
68,2.0,3384
69,2.0,658
70,2.0,1983
71,2.0,1427
72,2.0,3509
73,2.0,5061
74,2.0,1901
75,4.0,5295
76,4.0,765
77,4.0,1876
78,4.0,5261
79,4.0,3979
80,4.0,1060
81,4.0,4168
82,4.0,3344
83,4.0,4570
84,4.0,4485
85,4.0,4649
86,8.0,3584
87,8.0,4665
88,8.0,1875
89,8.0,2653
90,8.0,3981
91,8.0,1404
92,8.0,5702
93,8.0,957
94,8.0,2402
95,8.0,4338
96,8.0,3819
97,12.0,1870
98,12.0,3387
99,12.0,2271
100,12.0,1864
101,12.0,3462
102,12.0,2412
103,12.0,5064
104,12.0,4289
105,12.0,4290
106,12.0,3950
107,12.0,2057
108,16.0,2490
109,16.0,2922
110,16.0,1449
111,16.0,624
112,16.0,2133
113,16.0,4026
114,16.0,1664
115,16.0,1878
116,16.0,4554
117,16.0,1610
118,16.0,5078
119,16.0,1137
120,16.0,2691
121,16.0,1191
122,18.0,4529
123,18.0,3553
124,18.0,5058
125,18.0,4555
126,18.0,5114
127,18.0,2174
128,18.0,2648
129,18.0,4136
130,18.0,3727
131,18.0,3643
132,18.0,5104
133,18.0,3604
